nohup: ignoring input
Namespace(batch_size=1000, dataset='WN', decay1=0.9, decay2=0.999, init=0.001, learning_rate=0.1, max_epochs=20, model='FiveStarE', optimizer='Adagrad', rank=50, reg=0.005, regularizer='N3', valid=3.0)
(40943, 36, 40943)

  0%|          | 0/282884 [00:00<?, ?ex/s]
train loss:   0%|          | 0/282884 [00:00<?, ?ex/s]
train loss:   0%|          | 1000/282884 [00:00<00:07, 36748.30ex/s, loss=10.62]
train loss:   1%|          | 2000/282884 [00:00<00:06, 40459.78ex/s, loss=10.65]
train loss:  20%|█▉        | 56000/282884 [00:01<00:04, 46098.23ex/s, loss=9.59]
train loss:  20%|██        | 57000/282884 [00:01<00:04, 46098.23ex/s, loss=9.74]
train loss:  21%|██        | 58000/282884 [00:01<00:04, 46098.23ex/s, loss=9.63]
train loss:  21%|██        | 59000/282884 [00:01<00:04, 46098.23ex/s, loss=9.61]
train loss:  21%|██        | 60000/282884 [00:01<00:04, 46119.08ex/s, loss=9.61]
train loss:  21%|██        | 60000/282884 [00:01<00:04, 46119.08ex/s, loss=9.75]
train loss:  22%|██▏       | 61000/282884 [00:01<00:04, 46119.08ex/s, loss=9.69]
train loss:  22%|██▏       | 62000/282884 [00:01<00:04, 46119.08ex/s, loss=9.58]
train loss:  22%|██▏       | 63000/282884 [00:01<00:04, 46119.08ex/s, loss=9.65]
train loss:  23%|██▎       | 64000/282884 [00:01<00:04, 46119.08ex/s, loss=9.56]
train loss:  23%|██▎       | 65000/282884 [00:01<00:04, 46136.71ex/s, loss=9.56]
train loss:  23%|██▎       | 65000/282884 [00:01<00:04, 46136.71ex/s, loss=9.67]
train loss:  23%|██▎       | 66000/282884 [00:01<00:04, 46136.71ex/s, loss=9.59]
train loss:  24%|██▎       | 67000/282884 [00:01<00:04, 46136.71ex/s, loss=9.52]
train loss:  24%|██▍       | 68000/282884 [00:01<00:04, 46136.71ex/s, loss=9.54]
train loss:  24%|██▍       | 69000/282884 [00:01<00:04, 46136.71ex/s, loss=9.57]
train loss:  25%|██▍       | 70000/282884 [00:01<00:04, 46147.68ex/s, loss=9.57]
train loss:  25%|██▍       | 70000/282884 [00:01<00:04, 46147.68ex/s, loss=9.48]
train loss:  25%|██▌       | 71000/282884 [00:01<00:04, 46147.68ex/s, loss=9.55]
train loss:  25%|██▌       | 72000/282884 [00:01<00:04, 46147.68ex/s, loss=9.57]
train loss:  26%|██▌       | 73000/282884 [00:01<00:04, 46147.68ex/s, loss=9.45]
train loss:  26%|██▌       | 74000/282884 [00:01<00:04, 46147.68ex/s, loss=9.55]
train loss:  27%|██▋       | 75000/282884 [00:01<00:04, 46239.71ex/s, loss=9.55]
train loss:  27%|██▋       | 75000/282884 [00:01<00:04, 46239.71ex/s, loss=9.45]
train loss:  27%|██▋       | 76000/282884 [00:01<00:04, 46239.71ex/s, loss=9.43]
train loss:  27%|██▋       | 77000/282884 [00:01<00:04, 46239.71ex/s, loss=9.47]
train loss:  28%|██▊       | 78000/282884 [00:01<00:04, 46239.71ex/s, loss=9.40]
train loss:  28%|██▊       | 79000/282884 [00:01<00:04, 46239.71ex/s, loss=9.54]
train loss:  28%|██▊       | 80000/282884 [00:01<00:04, 46594.72ex/s, loss=9.54]
train loss:  28%|██▊       | 80000/282884 [00:01<00:04, 46594.72ex/s, loss=9.33]
train loss:  29%|██▊       | 81000/282884 [00:01<00:04, 46594.72ex/s, loss=9.41]
train loss:  29%|██▉       | 82000/282884 [00:01<00:04, 46594.72ex/s, loss=9.35]
train loss:  29%|██▉       | 83000/282884 [00:01<00:04, 46594.72ex/s, loss=9.26]
train loss:  30%|██▉       | 84000/282884 [00:01<00:04, 46594.72ex/s, loss=9.34]
train loss:  30%|███       | 85000/282884 [00:01<00:04, 46808.30ex/s, loss=9.34]
train loss:  30%|███       | 85000/282884 [00:01<00:04, 46808.30ex/s, loss=9.42]
train loss:  30%|███       | 86000/282884 [00:01<00:04, 46808.30ex/s, loss=9.30]
train loss:  31%|███       | 87000/282884 [00:01<00:04, 46808.30ex/s, loss=9.30]
train loss:  31%|███       | 88000/282884 [00:01<00:04, 46808.30ex/s, loss=9.35]
train loss:  31%|███▏      | 89000/282884 [00:01<00:04, 46808.30ex/s, loss=9.22]
train loss:  32%|███▏      | 90000/282884 [00:01<00:04, 46986.54ex/s, loss=9.22]
train loss:  32%|███▏      | 90000/282884 [00:01<00:04, 46986.54ex/s, loss=9.30]
train loss:  32%|███▏      | 91000/282884 [00:01<00:04, 46986.54ex/s, loss=9.37]
train loss:  33%|███▎      | 92000/282884 [00:01<00:04, 46986.54ex/s, loss=9.22]
train loss:  33%|███▎      | 93000/282884 [00:02<00:04, 46986.54ex/s, loss=9.29]
train loss:  33%|███▎      | 94000/282884 [00:02<00:04, 46986.54ex/s, loss=9.21]
train loss:  34%|███▎      | 95000/282884 [00:02<00:03, 47108.88ex/s, loss=9.21]
train loss:  34%|███▎      | 95000/282884 [00:02<00:03, 47108.88ex/s, loss=9.16]
train loss:  34%|███▍      | 96000/282884 [00:02<00:03, 47108.88ex/s, loss=9.15]
train loss:  34%|███▍      | 97000/282884 [00:02<00:03, 47108.88ex/s, loss=9.11]
train loss:  35%|███▍      | 98000/282884 [00:02<00:03, 47108.88ex/s, loss=9.20]
train loss:  35%|███▍      | 99000/282884 [00:02<00:03, 47108.88ex/s, loss=9.06]
train loss:  35%|███▌      | 100000/282884 [00:02<00:03, 47197.67ex/s, loss=9.06]
train loss:  35%|███▌      | 100000/282884 [00:02<00:03, 47197.67ex/s, loss=9.20]
train loss:  36%|███▌      | 101000/282884 [00:02<00:03, 47197.67ex/s, loss=9.09]
train loss:  36%|███▌      | 102000/282884 [00:02<00:03, 47197.67ex/s, loss=9.22]
train loss:  36%|███▋      | 103000/282884 [00:02<00:03, 47197.67ex/s, loss=9.15]
train loss:  37%|███▋      | 104000/282884 [00:02<00:03, 47197.67ex/s, loss=9.02]
train loss:  37%|███▋      | 105000/282884 [00:02<00:03, 47257.52ex/s, loss=9.02]
train loss:  37%|███▋      | 105000/282884 [00:02<00:03, 47257.52ex/s, loss=9.11]
train loss:  37%|███▋      | 106000/282884 [00:02<00:03, 47257.52ex/s, loss=9.09]
train loss:  38%|███▊      | 107000/282884 [00:02<00:03, 47257.52ex/s, loss=9.21]
train loss:  38%|███▊      | 108000/282884 [00:02<00:03, 47257.52ex/s, loss=9.15]
train loss:  39%|███▊      | 109000/282884 [00:02<00:03, 47257.52ex/s, loss=9.00]
train loss:  39%|███▉      | 110000/282884 [00:02<00:03, 46425.56ex/s, loss=9.00]
train loss:  39%|███▉      | 110000/282884 [00:02<00:03, 46425.56ex/s, loss=9.05]
train loss:  39%|███▉      | 111000/282884 [00:02<00:03, 46425.56ex/s, loss=9.04]
train loss:  40%|███▉      | 112000/282884 [00:02<00:03, 46425.56ex/s, loss=9.04]
train loss:  40%|███▉      | 113000/282884 [00:02<00:03, 46425.56ex/s, loss=8.80]
